date,nav
14-03-2019,55.131
13-03-2019,55.049
12-03-2019,55.078
11-03-2019,54.484
08-03-2019,53.453
07-03-2019,53.502
06-03-2019,53.648
05-03-2019,53.47
01-03-2019,52.416
28-02-2019,51.87
27-02-2019,51.715
26-02-2019,51.631
25-02-2019,51.72
22-02-2019,51.347
21-02-2019,51.271
20-02-2019,51.032
19-02-2019,50.515
18-02-2019,50.586
15-02-2019,50.959
14-02-2019,51.218
13-02-2019,51.215
12-02-2019,51.522
11-02-2019,51.65
08-02-2019,52.136
07-02-2019,52.663
06-02-2019,52.36
05-02-2019,52.129
04-02-2019,52.178
01-02-2019,52.307
31-01-2019,52.251
30-01-2019,51.688
29-01-2019,51.206
28-01-2019,51.075
25-01-2019,51.811
24-01-2019,52.444
23-01-2019,52.597
22-01-2019,52.762
21-01-2019,52.543
18-01-2019,52.619
17-01-2019,52.757
16-01-2019,52.885
15-01-2019,52.824
14-01-2019,52.476
11-01-2019,52.673
10-01-2019,52.842
09-01-2019,52.873
08-01-2019,52.672
07-01-2019,52.617
04-01-2019,52.33
03-01-2019,52.033
02-01-2019,52.389
01-01-2019,53.034
31-12-2018,53.027
28-12-2018,52.859
27-12-2018,52.419
26-12-2018,52.303
24-12-2018,52.214
21-12-2018,52.709
20-12-2018,53.411
19-12-2018,53.525
18-12-2018,53.067
17-12-2018,53.026
14-12-2018,52.805
13-12-2018,52.585
12-12-2018,52.176
11-12-2018,50.955
10-12-2018,50.298
07-12-2018,51.226
06-12-2018,50.876
05-12-2018,51.774
04-12-2018,52.361
03-12-2018,52.355
30-11-2018,52.144
29-11-2018,52.204
28-11-2018,51.494
27-11-2018,51.556
26-11-2018,51.439
22-11-2018,51.051
21-11-2018,51.527
20-11-2018,51.354
19-11-2018,51.989
16-11-2018,51.608
15-11-2018,51.599
14-11-2018,51.225
13-11-2018,51.191
12-11-2018,50.754
09-11-2018,51.198
06-11-2018,50.449
05-11-2018,50.757
02-11-2018,50.921
01-11-2018,50.567
31-10-2018,50.324
30-10-2018,49.686
29-10-2018,49.663
26-10-2018,48.302
25-10-2018,48.455
24-10-2018,48.681
